FECHA_CORTE;DEPARTAMENTO;MUNICIPIO;GENERO;EDAD;CONVOCATORIA;ESTADOS;PLATAFORMA_EDUCATIVA;ESTADO_FORMACION;META_BENEFICIARIOS;META_DINERO;INVERSION;FECHA_VIGENCIA
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;FEMENINO;24;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;FEMENINO;24;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CANTAGALLO;FEMENINO;33;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
31/12/2019 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;21;ICETEX;BENEFICIARIO;EDX;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;28;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;28;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;28;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;28;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;28;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;28;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;28;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;28;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;SAN CRISTOBAL;MASCULINO;19;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;SAN CRISTOBAL;MASCULINO;19;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;MASCULINO;14;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;MAGANGUE;MASCULINO;42;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;MAGANGUE;MASCULINO;42;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
